title,audience_score,number_of_audience_ratings
12 Angry Men (Twelve Angry Men) (1957),97,103672
The 39 Steps (1935),86,23647
The Adventures of Robin Hood (1938),89,33584
All About Eve (1950),94,44564
All Quiet on the Western Front (1930),89,17768
Casablanca (1942),95,355952
Frankenstein (1931),87,41140
King Kong (1933),86,89669
Laura (1944),91,10481
M (1931),95,35778
The Maltese Falcon (1941),91,57268
Metropolis (1927),92,62018
Rear Window (1954),95,149458
Rebecca (1940),92,39026
A Streetcar Named Desire (1951),90,54761
Touch of Evil (1958),92,30867
High Noon (1952),89,25065
Snow White and the Seven Dwarfs (1937),78,469510
12 Years a Slave (2013),90,138789
The 400 Blows (Les Quatre cents coups) (1959),94,38368
Alien (1979),94,457186
Apocalypse Now (1979),94,284606
Argo (2012),90,207373
Army of Shadows (L'Armée des ombres) (1969),94,7011
Arrival (2016),82,78740
Baby Driver (2017),89,48114
Battleship Potemkin (1925),85,18709
A Hard Day's Night (1964),89,50067
Bicycle Thieves (Ladri di biciclette) (1949),94,33723
Boyhood (2014),81,88478
The Bride of Frankenstein (1935),87,24471
Brooklyn (2015),87,45763
Citizen Kane (1941),90,157274
Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),94,208215
Dunkirk (2017),82,53555
E.T. The Extra-Terrestrial (1982),72,32313030
Finding Nemo (2003),86,33355673
Get Out (2017),87,63837
The Godfather (1972),98,730433
"The Godfather, Part II (1974)",97,409574
Gone With the Wind (1939),93,292794
The Grapes of Wrath (1940),88,23954
Gravity (2013),80,301261
Harry Potter and the Deathly Hallows - Part 2 (2011),89,389431
Hell or High Water (2016),88,37738
Inside Out (2015),89,133558
It Happened One Night (1934),93,33106
Jaws (1975),90,942217
The Last Picture Show (1971),90,13893
L.A. Confidential (1997),94,149772
La Grande illusion (Grand Illusion) (1938),92,11490
La La Land (2016),82,67325
Logan (2017),91,86540
Mad Max: Fury Road (2015),86,123937
Manchester by the Sea (2016),77,48189
Man on Wire (2008),87,29827
Modern Times (1936),95,39736
Moonlight (2016),80,41956
The Night of the Hunter (1955),90,24322
North by Northwest (1959),94,78793
"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",87,47463
On the Waterfront (1954),95,51664
Open City (1946),92,6128
The Philadelphia Story (1940),93,46810
Pinocchio (1940),72,278682
Psycho (1960),94,238259
Rashômon (1951),93,47657
Repulsion (1965),87,18655
Roman Holiday (1953),94,62895
Rosemary's Baby (1968),87,72669
Selma (2015),86,60533
Seven Samurai (Shichinin no Samurai) (1956),97,90049
Singin' in the Rain (1952),95,137643
Skyfall (2012),86,372497
Spotlight (2015),93,68142
Star Trek (2009),91,746458
Star Wars: Episode VII - The Force Awakens (2015),89,222789
Sunset Boulevard (1950),95,52783
Taxi Driver (1976),93,258405
The Babadook (2014),72,37024
The Battle of Algiers (La Battaglia di Algeri) (1967),95,14267
The Big Sick (2017),90,23391
The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),89,27163
The Conformist (1970),91,8529
The Dark Knight (2008),94,1827436
"The Good, the Bad and the Ugly (1966)",97,238420
The Jungle Book (2016),86,92856
The Third Man (1949),93,53081
The Wizard of Oz (1939),89,874425
The Wrestler (2008),88,139795
Tokyo Story (Tôkyô monogatari) (1953),93,11325
Toy Story (1995),92,1107731
Toy Story 2 (1999),86,998186
Toy Story 3 (2010),89,605098
The Treasure of the Sierra Madre (1948),93,25627
Up (2009),90,1201878
Vertigo (1958),93,101454
The Wages of Fear (1953),95,8536
Wonder Woman (2017),90,112955
Zootopia (2016),92,98633
